20:41:35.049 [main] INFO       o.s.b.t.c.SpringBootTestContextBootstrapper -------- Neither @ContextConfiguration nor @ContextHierarchy found for test class [com.hemantPandey.journalApp.service.UserDetailsServiceImplTests], using SpringBootContextLoader
20:41:35.055 [main] INFO       o.s.t.c.s.AbstractContextLoader -------- Could not detect default resource locations for test class [com.hemantPandey.journalApp.service.UserDetailsServiceImplTests]: no resource found for suffixes {-context.xml, Context.groovy}.
20:41:35.056 [main] INFO       o.s.t.c.s.AnnotationConfigContextLoaderUtils -------- Could not detect default configuration classes for test class [com.hemantPandey.journalApp.service.UserDetailsServiceImplTests]: UserDetailsServiceImplTests does not declare any static, non-private, non-final, nested classes annotated with @Configuration.
20:41:35.166 [main] INFO       o.s.b.t.c.SpringBootTestContextBootstrapper -------- Found @SpringBootConfiguration com.hemantPandey.journalApp.JournalApplication for test class com.hemantPandey.journalApp.service.UserDetailsServiceImplTests
20:41:35.239 [main] INFO       o.s.b.t.c.SpringBootTestContextBootstrapper -------- Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener, org.springframework.boot.test.autoconfigure.webservices.client.MockWebServiceServerTestExecutionListener, org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.event.ApplicationEventsTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener, org.springframework.test.context.event.EventPublishingTestExecutionListener]
20:41:35.251 [main] INFO       o.s.b.t.c.SpringBootTestContextBootstrapper -------- Using TestExecutionListeners: [org.springframework.test.context.web.ServletTestExecutionListener@40f70521, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@774698ab, org.springframework.test.context.event.ApplicationEventsTestExecutionListener@55342f40, org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener@a4ca3f6, org.springframework.boot.test.autoconfigure.SpringBootDependencyInjectionTestExecutionListener@72ea6193, org.springframework.test.context.support.DirtiesContextTestExecutionListener@31aa3ca5, org.springframework.test.context.transaction.TransactionalTestExecutionListener@45905bff, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener@2a2c13a8, org.springframework.test.context.event.EventPublishingTestExecutionListener@b6b1987, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener@6b44435b, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener@2ccca26f, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener@66b7550d, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener@3543df7d, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener@7c541c15, org.springframework.boot.test.autoconfigure.webservices.client.MockWebServiceServerTestExecutionListener@3542162a]
20:41:35.541 [main] INFO       c.h.j.s.UserDetailsServiceImplTests -------- Starting UserDetailsServiceImplTests using Java 21.0.2 on LENOVO-PG02KN0K with PID 15528 (started by hemantp in C:\Users\hemantp\Desktop\Spring Boot\journalApp)
20:41:35.542 [main] INFO       c.h.j.s.UserDetailsServiceImplTests -------- The following 1 profile is active: "dev"
20:41:36.100 [main] INFO       o.s.d.r.c.RepositoryConfigurationDelegate -------- Bootstrapping Spring Data MongoDB repositories in DEFAULT mode.
20:41:36.237 [main] INFO       o.s.d.r.c.RepositoryConfigurationDelegate -------- Finished Spring Data repository scanning in 134 ms. Found 2 MongoDB repository interfaces.
20:41:36.921 [main] INFO       org.mongodb.driver.client -------- MongoClient with metadata {"driver": {"name": "mongo-java-driver|sync|spring-boot", "version": "4.6.1"}, "os": {"type": "Windows", "name": "Windows 10", "architecture": "amd64", "version": "10.0"}, "platform": "Java/Eclipse Adoptium/21.0.2+13-LTS"} created with settings MongoClientSettings{readPreference=primary, writeConcern=WriteConcern{w=majority, wTimeout=null ms, journal=null}, retryWrites=true, retryReads=true, readConcern=ReadConcern{level=null}, credential=MongoCredential{mechanism=null, userName='hp9769hp', source='admin', password=<hidden>, mechanismProperties=<hidden>}, streamFactoryFactory=null, commandListeners=[], codecRegistry=ProvidersCodecRegistry{codecProviders=[ValueCodecProvider{}, BsonValueCodecProvider{}, DBRefCodecProvider{}, DBObjectCodecProvider{}, DocumentCodecProvider{}, IterableCodecProvider{}, MapCodecProvider{}, GeoJsonCodecProvider{}, GridFSFileCodecProvider{}, Jsr310CodecProvider{}, JsonObjectCodecProvider{}, BsonCodecProvider{}, EnumCodecProvider{}, com.mongodb.Jep395RecordCodecProvider@202d9236]}, clusterSettings={hosts=[127.0.0.1:27017], srvHost=cluster0.vn7y1jw.mongodb.net, srvServiceName=mongodb, mode=MULTIPLE, requiredClusterType=REPLICA_SET, requiredReplicaSetName='atlas-3mdhmm-shard-0', serverSelector='null', clusterListeners='[]', serverSelectionTimeout='30000 ms', localThreshold='30000 ms'}, socketSettings=SocketSettings{connectTimeoutMS=10000, readTimeoutMS=0, receiveBufferSize=0, sendBufferSize=0}, heartbeatSocketSettings=SocketSettings{connectTimeoutMS=10000, readTimeoutMS=10000, receiveBufferSize=0, sendBufferSize=0}, connectionPoolSettings=ConnectionPoolSettings{maxSize=100, minSize=0, maxWaitTimeMS=120000, maxConnectionLifeTimeMS=0, maxConnectionIdleTimeMS=0, maintenanceInitialDelayMS=0, maintenanceFrequencyMS=60000, connectionPoolListeners=[], maxConnecting=2}, serverSettings=ServerSettings{heartbeatFrequencyMS=10000, minHeartbeatFrequencyMS=500, serverListeners='[]', serverMonitorListeners='[]'}, sslSettings=SslSettings{enabled=true, invalidHostNameAllowed=false, context=null}, applicationName='null', compressorList=[], uuidRepresentation=JAVA_LEGACY, serverApi=null, autoEncryptionSettings=null, contextProvider=null}
